stt,unnamed_1,so_bien_nhan,ngay_nhan,ngay_tra,ten_cong_tydoanh_nghiep,đia_chi,phuong_xa,quan_huyen,ten_san_pham,ten_co_so_sx,đia_chi_sx,phuong_sx,quan_huyen_sx,so_ban_cong_bo,ngay_hoan_thanh,ket_qua,tinh_thanh
80,,,2023-10-24,2023-11-02,CÔNG TY TNHH XUẤT NHẬP KHẨU PHARMA KIDS,160/43 Phan Huy Ích,12,Gò Vấp,SẢN PHẨM DINH DƯỠNG DÀNH CHO TRẺ TỪ 0 - 12 THÁNG TUỔI GOODLIFE NEW BORN,,"116, ấp Hưng Hòa",Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",80,2023-10-27,,Ho Chi Minh
81,,,2023-11-03,2023-11-14,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG NUTRISURE CAO IQ,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,81,2023-11-07,,Ho Chi Minh
82,,,2023-11-03,2023-11-15,CÔNG TY TNHH XUẤT NHẬP KHẨU PHARMA KIDS,160/43 Phan Huy Ích,12,Gò Vấp,SẢN PHẨM DINH DƯỠNG DÀNH CHO TRẺ TỪ 0 - 12 TUỔI PHARMAKIDS BABY,,"116, ấp Hưng Hòa",Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",82,2023-11-08,,Ho Chi Minh
83,,,2023-11-03,2023-11-15,CÔNG TY TNHH XUẤT NHẬP KHẨU PHARMA KIDS,160/43 Phan Huy Ích,12,Gò Vấp,SẢN PHẨM DINH DƯỠNG DÀNH CHO TRẺ TỪ 1 - 10 TUỔI PHARMAKIDS PEDIA,,"116, ấp Hưng Hòa",Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",83,2023-11-08,,Ho Chi Minh
84,,,2023-11-03,2023-11-15,CÔNG TY TNHH XUẤT NHẬP KHẨU PHARMA KIDS,160/43 Phan Huy Ích,12,Gò Vấp,SẢN PHẨM DINH DƯỠNG DÀNH CHO TRẺ TỪ 1 - 10 TUỔI PHARMAKIDS GROW,,"116, ấp Hưng Hòa",Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",84,2023-11-08,,Ho Chi Minh
85,,,2023-11-09,2023-11-21,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG DÀNH CHO TRẺ TỪ 0 ĐẾN 12 THÁNG TUỔI BABIKIDS A+ BABY,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,85,2023-11-14,,Ho Chi Minh
86,,,2023-11-09,2023-11-21,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC SUMOKI K2+D3 COLOSTRUM BABY DÀNH CHO TRẺ TỪ 0-12 THÁNG TUỔI,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,86,2023-11-14,,Ho Chi Minh
87,,,2023-11-23,2023-12-04,CÔNG TY TNHH CHẾ BIẾN THỰC PHẨM VIỆT Ý,17A Trần Văn Cẩn,Tân Thới Hòa,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 0-12 THÁNG TUỔI NUTRITION-HMO COLOSTRUM,,"364C, Đường Nguyễn Thị Lắng",Phước Vĩnh An,Củ Chi,87,2023-11-29,,Ho Chi Minh
88,,,2023-11-27,2023-12-07,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC GROW IQ PLUS 3+ DÀNH CHO TRẺ TỪ 1-15 TUỔI,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,88,2023-11-30,,Ho Chi Minh
89,,,2023-11-27,2023-12-07,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC MERRIT 1+ DÀNH CHO TRẺ TỪ 6 THÁNG TUỔI TRỞ LÊN,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,89,2023-11-30,,Ho Chi Minh
90,,,2023-11-27,2023-12-07,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC MERRIT 3 DÀNH CHO TRẺ TỪ 1 TUỔI TRỞ LÊN,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,90,2023-11-30,,Ho Chi Minh
91,,,2023-11-27,2023-12-07,CÔNG TY CỔ PHẦN DINH DƯỠNG QUỐC TẾ PHARMA ASIA,207 Nhị Bình 3,Nhị Bình,Hóc Môn,SẢN PHẨM DINH DƯỠNG CHO TRẺ TỪ 1 - 10 TUỔI OMEGA 3 PEDIA SMART,,207 Nhị Bình 3,Nhị Bình,Hóc Môn,91,2023-11-30,,Ho Chi Minh
92,,,2023-11-27,2023-12-06,CÔNG TY TNHH DINH DƯỠNG ASIA,"Tầng 1, Bcons Tower 2, 42/1 Ung Văn Khiêm",25,Bình Thạnh,SẢN PHẨM DINH DƯỠNG DÀNH CHO TRẺ TỪ 0-12 THÁNG TUỔI ASIA NUTRI BABY GOLD 1,,Đường TL 286,Yên Phụ,Yên Phong - tỉnh Bắc Ninh,92,2023-12-01,,Ho Chi Minh
93,,,2023-11-27,2023-12-07,CÔNG TY TNHH DINH DƯỠNG ASIA,"Tầng 1, Bcons Tower 2, 42/1 Ung Văn Khiêm",25,Bình Thạnh,SẢN PHẨM DINH DƯỠNG DÀNH CHO TRẺ TỪ 6-36 THÁNG TUỔI ASIA NUTRI KIDS GOLD 2,,Đường TL 286,Yên Phụ,Yên Phong - tỉnh Bắc Ninh,93,2023-12-01,,Ho Chi Minh
94,,,2023-11-27,2023-12-07,CÔNG TY TNHH DINH DƯỠNG ASIA,"Tầng 1, Bcons Tower 2, 42/1 Ung Văn Khiêm",25,Bình Thạnh,SẢN PHẨM DINH DƯỠNG DÀNH CHO TRẺ TỪ 1-10 TUỔI ASIA NUTRI PEDIA GOLD 3,,Đường TL 286,Yên Phụ,Yên Phong - tỉnh Bắc Ninh,94,2023-12-01,,Ho Chi Minh
95,,,2023-11-27,2023-12-07,CÔNG TY TNHH DINH DƯỠNG ASIA,"Tầng 1, Bcons Tower 2, 42/1 Ung Văn Khiêm",25,Bình Thạnh,SẢN PHẨM DINH DƯỠNG DÀNH CHO TRẺ TỪ 1-15 TUỔI ASIA NUTRI KAO IQ 4,,Đường TL 286,Yên Phụ,Yên Phong - tỉnh Bắc Ninh,95,2023-12-01,,Ho Chi Minh
96,,,2023-11-28,2023-12-07,CÔNG TY CỔ PHẦN DINH DƯỠNG QUỐC TẾ PHARMA ASIA,207 Nhị Bình 3,Nhị Bình,Hóc Môn,SẢN PHẨM DINH DƯỠNG CHO TRẺ TỪ 1 - 10 TUỔI NANO PEDIA SMART,,207 Nhị Bình 3,Nhị Bình,Hóc Môn,96,2023-12-04,,Ho Chi Minh
97,,,2023-11-28,2023-12-07,CÔNG TY CỔ PHẦN DINH DƯỠNG QUỐC TẾ PHARMA ASIA,207 Nhị Bình 3,Nhị Bình,Hóc Môn,SẢN PHẨM DINH DƯỠNG CHO TRẺ TỪ 1 - 15 TUỔI NANO CAO IQ,,207 Nhị Bình 3,Nhị Bình,Hóc Môn,97,2023-12-04,,Ho Chi Minh
98,,,2023-11-28,2023-12-07,CÔNG TY CỔ PHẦN DINH DƯỠNG QUỐC TẾ PHARMA ASIA,207 Nhị Bình 3,Nhị Bình,Hóc Môn,SẢN PHẨM DINH DƯỠNG CHO TRẺ TỪ 1 - 15 TUỔI OMEGA 3 CAO IQ,,207 Nhị Bình 3,Nhị Bình,Hóc Môn,98,2023-12-04,,Ho Chi Minh
99,,,2023-11-30,2023-12-11,CÔNG TY TNHH XUẤT NHẬP KHẨU DAIRYFOOD,"17 Nguyễn Văn Cừ, Khu phố 4",Tân Tạo A,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DÀNH CHO TRẺ TỪ 1 TUỔI TRỞ LÊN SUKUMILK GOLD IQ PLUS,,"17 Nguyễn Văn Cừ, Khu phố 4",Tân Tạo A,Bình Tân,99,2023-12-05,,Ho Chi Minh
100,,,2023-11-30,2023-12-11,CÔNG TY TNHH XUẤT NHẬP KHẨU DAIRYFOOD,"17 Nguyễn Văn Cừ, Khu phố 4",Tân Tạo A,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DÀNH CHO TRẺ TỪ 1 TUỔI TRỞ LÊN SUKUMILK GOLD GROW PLUS,,"17 Nguyễn Văn Cừ, Khu phố 4",Tân Tạo A,Bình Tân,100,2023-12-05,,Ho Chi Minh
101,,,2023-12-11,2023-12-21,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC SURE IQ PEDIA DÀNH CHO TRẺ TỪ 1-10 TUỔI,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,101,2023-12-14,,Ho Chi Minh
102,,,2023-12-11,2023-12-21,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC SURE IQ BABY DÀNH CHO TRẺ TỪ 0-12 THÁNG TUỔI,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,102,2023-12-14,,Ho Chi Minh
103,,,2023-12-11,2023-12-21,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC SURE IQ KIDS GOLD DÀNH CHO TRẺ TỪ 6-36 THÁNG TUỔI,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,103,2023-12-14,,Ho Chi Minh
104,,,2023-12-14,2023-12-25,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC SURE IQ GROW IQ DÀNH CHO TRẺ TỪ 1-15 TUỔI,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,104,2023-12-19,,Ho Chi Minh
105,,,2023-12-14,2023-12-25,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC COLOS A+ BABY DÀNH CHO TRẺ TỪ 0-12 THÁNG TUỔI,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,105,2023-12-19,,Ho Chi Minh
106,,,2023-12-14,2023-12-25,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC PONLAIT INFNANT DÀNH CHO TRẺ TỪ 0-12 THÁNG TUỔI,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,106,2023-12-19,,Ho Chi Minh
107,,,2023-12-14,2023-12-25,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC PONLAIT DIEST DÀNH CHO TRẺ TỪ 6-36 THÁNG TUỔI,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,107,2023-12-19,,Ho Chi Minh
108,,,2023-12-14,2023-12-25,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC COLOS A+ KIDS GOLD DÀNH CHO TRẺ TỪ 6-36 THÁNG TUỔI,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,108,2023-12-19,,Ho Chi Minh
109,,,2023-12-15,2023-12-26,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ARTI GAIN PEDIA DÀNH CHO TRẺ TỪ 0-1 TUỔI,,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,109,2023-12-21,,Ho Chi Minh
110,,,2023-12-15,2023-12-26,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ARTI GAIN PEDIA DÀNH CHO TRẺ TỪ 2-10 TUỔI,,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,110,2023-12-21,,Ho Chi Minh
111,,,2023-12-21,2024-01-02,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ARTI GAIN PEDIA DÀNH CHO TRẺ TỪ 2-10 TUỔI,,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,111,2023-12-26,,Ho Chi Minh
112,,,2023-12-21,2024-01-02,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DÀNH CHO TRẺ TỪ 0-12 THÁNG TUỔI BABY STEMP 1+,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,112,2023-12-26,,Ho Chi Minh
113,,,2023-12-25,2024-01-04,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DÀNH CHO TRẺ TỪ 1-10 TUỔI KIDS CARE PEDIA GOLD,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,113,2023-12-28,,Ho Chi Minh
114,,,2023-12-25,2024-01-04,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DÀNH CHO TRẺ TỪ 1-15 TUỔI BIOTAR IQ GROW,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,114,2023-12-28,,Ho Chi Minh
115,,,2023-12-25,2024-01-04,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DÀNH CHO TRẺ TỪ 0-12 THÁNG TUỔI COLOSMILL BABY GOLD,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,115,2023-12-28,,Ho Chi Minh
116,,,2023-12-25,2024-01-05,CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,84E Nguyễn Đình Chiểu,Đa Kao ,1,BÁNH ĂN DẶM PAPAPUFFS FINGERS VỊ CHUỐI VÀ CA CAO - 100% NGŨ CỐC HỮU CƠ,,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,116,2023-12-28,,Ho Chi Minh
117,,,2023-12-25,2024-01-05,CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,84E Nguyễn Đình Chiểu,Đa Kao ,1,BÁNH ĂN DẶM PAPAPUFFS FINGERS VỊ BÍ ĐỎ VÀ KHOAI LANG TÍM - 100% NGŨ CỐC HỮU CƠ,,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,117,2023-12-28,,Ho Chi Minh
118,,,2023-12-25,2024-01-05,CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,84E Nguyễn Đình Chiểu,Đa Kao ,1,BÁNH ĂN DẶM PAPAPUFFS FINGERS VỊ RONG BIỂN VÀ CÀ RỐT - 100% NGŨ CỐC HỮU CƠ,,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,118,2023-12-28,,Ho Chi Minh
119,,,2023-12-28,2023-01-09,CÔNG TY TNHH CHẾ BIẾN THỰC PHẨM VIỆT Ý,17A Trần Văn Cẩn,Tân Thới Hòa,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC COW TRUE MILK HỌC ĐƯỜNG,,"364C, Đường Nguyễn Thị Lắng",Phước Vĩnh An,Củ Chi,119,2023-12-29,,Ho Chi Minh
120,,,,,,,,,,,,,,120,,,Ho Chi Minh
121,,,,,,,,,,,,,,121,,,Ho Chi Minh
122,,,,,,,,,,,,,,122,,,Ho Chi Minh
123,,,,,,,,,,,,,,123,,,Ho Chi Minh
124,,,,,,,,,,,,,,124,,,Ho Chi Minh
125,,,,,,,,,,,,,,125,,,Ho Chi Minh
126,,,,,,,,,,,,,,126,,,Ho Chi Minh
127,,,,,,,,,,,,,,127,,,Ho Chi Minh
128,,,,,,,,,,,,,,128,,,Ho Chi Minh
