ten_ho_kinh_doanh,ten_co_so,dia_chi,so_gcn_dkkd,ngay_cap_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,xep_loai,dien_thoai,tinh_thanh,ten_co_so_norm,dia_chi_norm,ngay_tiep_nhan,thoi_han_gcn_attp,processing_days,attp_valid
Nguyễn Thành Mỹ,,đuong dt601 khu tđc h.lien2 - hoa lien,,,"san xuat cha heo, bo",,,b,905650508.0,da nang,,đuong dt601 khu tđc h.lien2 - hoa lien,,,,False
Lê Hoài Nam,cha nam suong,quan nam 3-hoa lien,,,"san xuat cha heo, bo",,,b,905953003.0,da nang,cha nam suong,quan nam 3-hoa lien,,,,False
HTX rau hoa củ quả Hòa Vang,,"trung nghia, hoa ninh, hoa vang",320607000029.0,,trong buoi da xanh,,,b,,da nang,,"trung nghia, hoa ninh, hoa vang",,,,False
HKD Khôi Nhi,nguyen thi xinh,"đai la, hoa son, hoa vang",,,san xuat dam gao,,,b,976363161.0,da nang,nguyen thi xinh,"đai la, hoa son, hoa vang",,,,False
HKD Phan Quan,phan anh quan,"20-bau cau 15, hoa chau, hoa vang",,,san xuat tre,,,b,932205329.0,da nang,phan anh quan,"20-bau cau 15, hoa chau, hoa vang",,,,False
HKD Trương Thị Bé,truong thi be,"yen ne 1-hoa tien, hoa vang",,,"san xuat cha bo, heo",,,b,935600925.0,da nang,truong thi be,"yen ne 1-hoa tien, hoa vang",,,,False
HKD Trần Hiền,tran hien,"le son nam, hoa tien, hoa vang",,,san xuat heo quay,,,b,913486959.0,da nang,tran hien,"le son nam, hoa tien, hoa vang",,,,False
HKD Nguyễn Đức Truyền,nguyen đuc truyen,"quang chau, hoa chau, hoa vang",,,"san xuat cha heo, bo",,,b,909992598.0,da nang,nguyen đuc truyen,"quang chau, hoa chau, hoa vang",,,,False
HKD Phương Đông,ta thi thanh phuon,"đong hoa, hoa chau, hoa vang",,,"cha bo, heo",,,b,796820945.0,da nang,ta thi thanh phuon,"đong hoa, hoa chau, hoa vang",,,,False
HKD Nguyễn Thị Bông,nguyen thi bong,"thach nham tay, hoa nhon, hoa vang",,,"kieu say, kieu dam",,,a,708116622.0,da nang,nguyen thi bong,"thach nham tay, hoa nhon, hoa vang",,,,False
HTX SXKD DVTMTH Kim Thanh,huynh van muoi,"to 7, tuy loan đong 2, hoa phong, hoa vang",401436837.0,,"san xuat, đong goi nam cac loai",,,b,905217507.0,da nang,huynh van muoi,"to 7, tuy loan đong 2, hoa phong, hoa vang",,,,False
HKD Quỳnh Tâm,phan van hung,"kiet 2, cam toai đong, hoa phong, hoa vang",,,"trong, đong goi cac loai nam bao ngu, linh chi, đong trung ha thao",,,b,905099181.0,da nang,phan van hung,"kiet 2, cam toai đong, hoa phong, hoa vang",,,,False
HKD Đinh Viết Hùng,đinh viet hung,"giang nam 1, hoa phuoc, hoa vang",,,san xuat cha bo,,,b,395512350.0,da nang,đinh viet hung,"giang nam 1, hoa phuoc, hoa vang",,,,False
HKD Mai Thị Thanh Hà,mai thi thanh ha,"tdd,tbdd,to 5, qua giang 1, hoa phuoc, hoa vang",,,san xuat đau khuon,,,b,704679594.0,da nang,mai thi thanh ha,"tdd,tbdd,to 5, qua giang 1, hoa phuoc, hoa vang",,,,False
HKD Huỳnh Ngọc Quảng,huynh ngoc quang,"yen ne 1, xa hoa tien, hoa vang",,,san xuat đau khuon,,,b,905325138.0,da nang,huynh ngoc quang,"yen ne 1, xa hoa tien, hoa vang",,,,False
HKD cơ sở sản xuất yến sào Bắc Trung Nam,nguyen thi tuyet anh,"tđ 1737, tbđ 13, yen ne 1, hoa tien",,,san xuat va kd yen sao,,,b,905227645.0,da nang,nguyen thi tuyet anh,"tđ 1737, tbđ 13, yen ne 1, hoa tien",,,,False
HKD Chung Thị Diễm,tran đinh cong đuc,"tđ 1417, tbđ 23, phu hoa 1, hoa nhon",,,"cha bo, heo",,,b,898181265.0,da nang,tran đinh cong đuc,"tđ 1417, tbđ 23, phu hoa 1, hoa nhon",,,,False
HTX làng Phú Sơn,cao van toi,"phu son 2, hoa khuong",402148214.0,,cha ca that lat tuoi va chien,,,a,905937757.0,da nang,cao van toi,"phu son 2, hoa khuong",,,,False
HKD Mộc Nguyên,nguyen thi my dung,"tđ105,tbđ7, tuy loan đong 1, hoa phong",,,detox gung toi,,,b,909041241.0,da nang,nguyen thi my dung,"tđ105,tbđ7, tuy loan đong 1, hoa phong",,,,False
HKD Lê Anh Tú,le anh tu,"khu tai đinh cu thon nam my, xa hoa bac",,,che day,,,b,935610002.0,da nang,le anh tu,"khu tai đinh cu thon nam my, xa hoa bac",,,,False
HKD Trần Minh Hải,tran minh hai,"tđ19,tbđ10, to 5, thon phuoc hung, hoa nhon",,,heo quay,,,b,905030144.0,da nang,tran minh hai,"tđ19,tbđ10, to 5, thon phuoc hung, hoa nhon",,,,False
HKD Hải Trang,tran thi chinh,"phu son 2, hoa khuong",,,che day,,,b,934909067.0,da nang,tran thi chinh,"phu son 2, hoa khuong",,,,False
HTX DVSXNN Hòa Phong 1,nguyen sy,"cam toai tay, hoa phong",401594431.0,,thit ga dang tuoi nguyen con,,,b,909187243.0,da nang,nguyen sy,"cam toai tay, hoa phong",,,,False
HKD Phan Hồng Thân,phan hong than,"tđ616,tbđ24, thon phu hoa 2, hoa nhon",,,"cha bo, heo",,,b,788085558.0,da nang,phan hong than,"tđ616,tbđ24, thon phu hoa 2, hoa nhon",,,,False
HKD Nguyễn Thị Tân,nguyen thi tan,"to 1, thon cam toai đong, xa hoa phong",,,đau khuon,,,b,339686839.0,da nang,nguyen thi tan,"to 1, thon cam toai đong, xa hoa phong",,,,False
HKD Nguyễn Hữu Quý,nguyen huu quy,"thon tuy loan đong 1, xa hoa phong",,,đau khuon,,,b,327069093.0,da nang,nguyen huu quy,"thon tuy loan đong 1, xa hoa phong",,,,False
HKD Phạm Thị Xuân Hồng,pham thi xuan hong,"thon tuy loan đong 1, hoa phong",,,"cha bo, heo",,,b,935401346.0,da nang,pham thi xuan hong,"thon tuy loan đong 1, hoa phong",,,,False
HTX DVTH Hòa Bắc,pham van chien,"thon nam my, xa hoa bac",401997247.0,,trung gia cam,,,b,935193525.0,da nang,pham van chien,"thon nam my, xa hoa bac",,,,False
Cơ sở Trần Thị Hiếu,tran thi hieu,"phu son 1, xa hoa khuong",,,san xuat cha,,,b,905219925.0,da nang,tran thi hieu,"phu son 1, xa hoa khuong",,,,False
HKD Công trình chả chay Hòa Nhơn,tran cong trinh,"ttdd-tbdd, thach nham tay, hoa nhon",,,san xuat cha chay,,,b,905234797.0,da nang,tran cong trinh,"ttdd-tbdd, thach nham tay, hoa nhon",,,,False
HKD Phúc Lợi,nguyen thi cam,"duong son, hoa chau",,,che bien va kinh doanh yen sao,,,a,934581039.0,da nang,nguyen thi cam,"duong son, hoa chau",,,,False
HKD Nguyễn Trịnh Như Quý,nguyen trinh nhu quy,"to 2, quan nam 3, hoa lien",,,san xuat cha,,,a,935561795.0,da nang,nguyen trinh nhu quy,"to 2, quan nam 3, hoa lien",,,,False
HKD Trương Thị Hòa,truong thi hoa,"tđ1311-tbđ10, phuoc hung, hoa nhon",,,che bien muc rim,,,b,934888313.0,da nang,truong thi hoa,"tđ1311-tbđ10, phuoc hung, hoa nhon",,,,False
HTX DVSX & TT rau an toàn Túy Loan,bui dung,"tuy loan tay 1, hoa phong",320607000024.0,,"san xuat rau an la, rau an qua",,,b,905559206.0,da nang,bui dung,"tuy loan tay 1, hoa phong",,,,False
HKD Nguyễn Thị Mỹ Tang,nguyen thi my tang,"cam toai đong, hoa phong, hoa vang",,2016-04-10,san xuat va mua ban cha,,,b,906546709.0,da nang,nguyen thi my tang,"cam toai đong, hoa phong, hoa vang",,,,False
HKD Phạm Anh Hoàng,pham anh hoang,"127-tran van giau, hoa chau, hoa vang",,,che bien heo quay,,,b,914185111.0,da nang,pham anh hoang,"127-tran van giau, hoa chau, hoa vang",,,,False
HKD Nguyễn Văn Đệ,nguyen van đe,"duong son, hoa chau, hoa vang",,,san xuat đau khuon,,,b,367332934.0,da nang,nguyen van đe,"duong son, hoa chau, hoa vang",,,,False
HKD Trần Thị Tiếng,tran thi tieng,"quang chau, hoa chau, hoa vang",,,cha chay,,,b,,da nang,tran thi tieng,"quang chau, hoa chau, hoa vang",,,,False
HKD Nguyễn Văn Đương,nguyen van đuong,"an ngai đong, hoa son, hoa vang",,,san xuat đau khuon,,,b,,da nang,nguyen van đuong,"an ngai đong, hoa son, hoa vang",,,,False
HTX nấm Nhơn Phước,nguyen van nhi,"hoa khuong đong, hoa nhon, hoa vang",401700369.0,,"cha nam bao ngu, cao nam linh chi",,,b,,da nang,nguyen van nhi,"hoa khuong đong, hoa nhon, hoa vang",,,,False
HKD Nguyễn Thị Lanh,nguyen thi lanh,"tuy loan đong, hoa phong, hoa vang",,2009-09-02,san xuat dam chuoi,,,b,764917989.0,da nang,nguyen thi lanh,"tuy loan đong, hoa phong, hoa vang",,,,False
HKD Nguyễn Đình Thắng,nguyen đinh thang,"le son nam-hoa tien, hoa vang",,2017-04-11,"san xuat cha heo, bo",,,b,905444587.0,da nang,nguyen đinh thang,"le son nam-hoa tien, hoa vang",,,,False
HKD Huỳnh Ngọc Nam,huynh ngoc nam,"le son bac, hoa tien, hoa vang",,,san xuat đau khuon,,,b,,da nang,huynh ngoc nam,"le son bac, hoa tien, hoa vang",,,,False
HKD Văn Thị Mỹ Phượng,van thi my phuong,"le son bac-hoa tien, hoa vang",,2011-12-01,"san xuat cha heo, bo",,,b,902799371.0,da nang,van thi my phuong,"le son bac-hoa tien, hoa vang",,,,False
HKD Phạm Thị Yến,cha yen tien,"an ngai tay 2-hoa son, hoa vang",,,"san xuat cha heo, bo",,,b,935487879.0,da nang,cha yen tien,"an ngai tay 2-hoa son, hoa vang",,,,False
HKD Nguyễn Thị Nghĩa,cha muoi nghia,"quan nam 2-hoa lien, hoa vang",,,"san xuat cha heo, bo",,,b,983680747.0,da nang,cha muoi nghia,"quan nam 2-hoa lien, hoa vang",,,,False
HKD Trần Công Quỳnh,ca phe quynh,"an ngai tay 1, hoa son, hoa vang",,,"rang, xay ca phe",,,b,935300615.0,da nang,ca phe quynh,"an ngai tay 1, hoa son, hoa vang",,,,False
